,Unnamed: 0,Customer_Name,Date,Ratings,Review_Title,Reviews,Product_name,Price,sourcefilename
0,0,June J,"July 21, 2022",5.0 out of 5 stars,Great laptop,This is a great inexpensive pretty powerful laptop with good memory! I wouldn't toss it around but you can't have everything at this price,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
1,1,David Anderson,"May 2, 2022",4.0 out of 5 stars,Nice and fast,Nice and fast could use a little more ram. The only things I real don't like is that you can only top off the ram to 12gb. Nice big screen though and it has a very fast 6 core  processor that's one reason I bought it. Doesn't come with a bunch of bloat ware either. In the description it doesn't tell you but it has biometric login which is nice. Would like to wipe it and run Linux on it  I grown used to Linux  but I don't want to get rid of a licensed copy of Widows. When you first start it up you will have the option to keep Windows 10 or upgrade to windows 11.,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
2,2,Thor,"July 18, 2022",5.0 out of 5 stars,Nice being able to get this with payments!,Great laptop. Large screen. Was able to get it on payments so that made it a lot better.,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
3,3,George,"June 17, 2022",4.0 out of 5 stars,Overall it’s a great laptop,Everything is great except the touch pad sometimes just freezes up so always have to have a mouse ready close by.,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
4,4,Danny,"March 29, 2022",4.0 out of 5 stars,Great Laptop! Fast! EASY TO SEE keyboard!,"Great Laptop! Fast! EASY TO SEE keyboard! (Which had ALOT to do in making my decision) 1080p Screen.Could be brighter screen, but good bang for the buck!VERY slim and light!Does NOT get hot when running multiple programs,  however, I did purchase a laptop cooler (KLIM Airflow)fits 17"" laptop, just for extra precaution!!👍I will review it when it comes today! *watch for review.Overall LOVE ❤️  this laptop!I would definitely👍recommend this laptop! 💻Great buy for the money!💯","Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
5,5,Olga Flores,"August 8, 2022",3.0 out of 5 stars,Se dañó rápido el Wireless,"A 1 mes de usarla se dañó el Wireless recibí soporte pero debía enviar el computador al fabricante , la uso para trabajar y no podía quedarme sin ella","Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
6,6,Michael,"May 16, 2022",5.0 out of 5 stars,,,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
7,7,Mightyark87,"April 16, 2022",4.0 out of 5 stars,Quality Laptop,"I've had this laptop for a few days and I like everything about it so far. Nice big screen, privacy shutter for the camera and lots of power for the money. It's worked flawlessly so far. There was not a lot of bloatware which was also a plus. This is not a gaming laptop but it does the job for doing business and surfing the web. I'm completely satisfied with my purchase.","Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
8,8,Michael H,"April 10, 2022",5.0 out of 5 stars,Reliable laptop,After switching over to HP I think I will go back to Lenovo. Very reliable and fast too!,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
9,9,Timothy,"January 28, 2022",3.0 out of 5 stars,Not sure how you beat this for the price,"Wanted a new laptop with large screen but didn't want to spend a lot. This Lenovo 17.3"" has met or exceeded all my expectations. You get a six core/12 thread processor, 500 gb m.2 hard drive, 8 gb mem, and a thin/sleek well made laptop for a great price.The display is TN, but colors look great and the 1600x900 resolution (for me) is perfect for this size screen. The processor is fast and runs cool. Not a gaming laptop because of integrated graphics, but for everything else this laptop suits all needs well.","Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
10,10,Jason Casareno,"August 30, 2021",4.0 out of 5 stars,Good Laptop For Work + Casual Gaming,"Just received the laptop today and had no noticable problems with the laptop itself.Starting up the laptop and after setting everything up I had no issues.Edit: After about 3 months of usage, I still have a good feeling about this laptop.One thing I would like to mention is the RAM. I am a Comp Sci student and one of the software I needed for my course was very RAM heavy (Android Studio is anyone is interested). The 8GB of RAM mentioned is true however you will only get to use about 6GB. This is because the hardware reserves 2GB of ram to actually run the laptop (I think?). In summary, if you are going to be using RAM heavy software, I would recommend going for a 16GB laptop instead (which was my mistake, sadly).","Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
11,11,Tony,"February 4, 2022",4.0 out of 5 stars,Haven't found finger print reader yet but as being expected,Liked the product. Have not used the camera and fingerprint reader yet. Will try it and give feedback later.,"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",&328,review1.csv
