,Customer_Name,Date,Ratings,Review_Title,Reviews,Product_name,Price
0,LimonKay,"June 19, 2016",4.0 out of 5 stars,Upgrading from a previous Toshiba Satellite.,"After using this laptop for about two weeks now I feel confident in making a detailed summary.To start off, I'm someone who has been using another Toshiba Satellite (The p845t-s305) prior to this for 4 years and I've loved it dearly - it was the first laptop I purchased with my own money while working for it in high school. My previous one had a very nice silver finish that gave it a premium feel to it with lovely clear crisp Harman Kardon speakers.As for this laptop, I'm a full-time college student and an occasional gamer so I'm trying to supplement both when I purchased this.The laptop itself is pretty bulky, (6.2 lbs) can be a nuisance to hold onto if you're constantly walking through campus or work, also the 15.6"" screen is quite large, too large in fact to fit onto most university desks snug, if you're not careful you might actually drop it.The Harman Kardon speakers are not impressive at all, the sound is clear and crisp but not loud enough to actually give you a theater-like feel on a 4k display. My previous Toshiba Satellite speakers (also Harman Kardon) despite being a laptop $200 cheaper, they were so much louder.Although the 4k display is quite impressive, keep in mind MANY applications, programs, software haven't been integrated to work with 4k resolution as of date, so if you're like me you'll find playing some video games, and unbranded applications may be hard to look at as the text and windows may come out huge.The feel of the device is pretty cheap and the finish is nowhere near high quality, if I had to guess the price of this laptop just from appearances only without knowing a single spec of it, I'd say it's roughly something you'd find on the clearance aisle of Wal-Mart.Now with all the negatives aside, I am planning to keep this laptop as there as many positives to it as well.First and foremost, the back-lit keyboard is absolutely stunning. The battery life allows me to watch 2-3 episodes of Game of Thrones while waiting for my Japanese professor's lecture to end while she continues to rant about the bombings of Hiroshima and Nagasaki.The 12 GB ram is what really interested me in this laptop, that coupled with the intel i7 processor does make casual gaming a pleasant experience (League of Legends, Call of Duty run fine as long as you're not maxing out the settings, you'll get about 40-50 FPS). Don't expect this to run max settings without FPS drops and lags.The touchscreen is very responsive (the touchscreen on my previous laptop died after a year shortly so I'm still  a bit untrustworthy when it comes to this).Overall, for $700 you get a laptop with 12 GB ram, 1TB hard drive, intel i7 processor, a touchscreen with dual tablet mode on top of a 4k display resolution. Certainly beats your local BestBuy deal right?","Toshiba - Satellite Radius 2-in-1 15.6"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 12GB Memory - 1TB Hard Drive - Carbon Gray",$649.00
1,Milinda Dharmasena,"February 13, 2017",4.0 out of 5 stars,Weirerd Touch Screen Issue,,"Toshiba - Satellite Radius 2-in-1 15.6"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 12GB Memory - 1TB Hard Drive - Carbon Gray",$649.00
2,marien e. ceja sarur,"June 9, 2016",3.0 out of 5 stars,So far... lemony headache... perhaps...,The media could not be loaded.,"Toshiba - Satellite Radius 2-in-1 15.6"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 12GB Memory - 1TB Hard Drive - Carbon Gray",$649.00
3,Bob,"June 26, 2016",5.0 out of 5 stars,"For the price, you ca't go wrong"," Hi There! This is a great Laptop and I love it. When I received this, I swapped the HDD to a OCZ SSD with the help of a professional. It is super fast and was working fine other than getting blacked out from time to time and then coming back to its senses by it self. But since, last week, I have been experiencing some sort of issue with the touch screen. All of a sudden few touch points start to appear on the screen and at times those points closer to the task bar self click n apps and start to open them. And at times, those points make the cursor point to lock on one of those touch points. Also at times it makes the screen zoom in and zoom out when we try to move the cursor arrow or touch the screen. Some times when you touch one of them points and move it around the issue goes away. The same happens when the laptop is restarted. but again those points start to appear after some time. I don't know how to make this stop. I'm hoping a software update will fix this issue. if anyone else had the same experience or know anything about this issue, please let me know how to fix it. I have also attached some images and a video clip for you to understand the issue. Thank you :)","Toshiba - Satellite Radius 2-in-1 15.6"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 12GB Memory - 1TB Hard Drive - Carbon Gray",$649.00
4,Kimberly,"July 19, 2016",3.0 out of 5 stars,Constantly goes through set up.,"Updating review to three stars....After a headache of restarting the system, erasing half of the crap windows 10 has installed on it, cancelling background running programs and startup programs.... the computer works. I will not say perfect, but it works, at the moment it still crawls instead of running zipping through actions.We are keeping the computer, the speakers are amazing, the display is too, and we hope that eventually after we customize it all down to our liking *AKA stopping all those default things from W10 from popping up every five seconds* it will be the amazing computer we thought we bought.I hope this helps!For the moment One star.I did a lot of research before deciding on this computer, and my two previous laptops are Toshiba, immortals!The computer LOOKS amazing!... I admit... it has been used three-four times while trying to set up windows to my liking... and trying to get Office into it... the internet never works right... the computer worked fast the first day then became a slug after that....and today... It just woke up to a black screen of death... and it does nothing... I have contacted seller... depending on the outcome I will update my review. I really WANT this computer...","Toshiba - Satellite Radius 2-in-1 15.6"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 12GB Memory - 1TB Hard Drive - Carbon Gray",$649.00
5,Savan,"August 26, 2016",3.0 out of 5 stars,display is nice but complicate to handle it,"Ok, I am going to try and explain to anyone who may be interested in buying this laptop why I feel it’s a good deal. Some of you really need to understand what a deal this is and why some people are having issues.I have had this laptop for a month now and I have not had any issues because, I knew what I was buying. You see, either a laptop or desktop will only be as fast as its slowest component. Yes, this thing has a great processor, lots of memory, great 4K graphics but, the hard drive is only a 5400 rpm. We’re talking 1990s technology, that’s why this laptop is so SLOW. Sure, it’s a lot of storage but, the factory installed hard drive, is not meant for speed. Also, seeing the hard drive is the slowest component, it can create some problems for all of the better components.Now, I went to Best Buy to check this thing out and theirs had the same specs overall except theirs had a 128gb ssd drive, it was fast but, they also wanted over $1, 000. So, I found this one on here for 7 something and figured by adding a faster ssd drive by myself, I could have a very nice 4K laptop for under $850. After I put in my new ssd drive, this thing flies, boots fast, files run fast, browsing is faster and no issues loading programs. Just remember to clone your factory drive to your new ssd before you swap them. Trust me I needed to load Office 365 before I got my new drive and it took 4hrs to get it loaded, what a pain.Plain English, you’re buying a formula one race car that has a lawn mower engine part that’s slowing it down, just upgrade the hard drive and own an awesome 4K laptop, It’s worth it. Even if you installed a 7200rpm drive in this laptop, it would still be worth it.","Toshiba - Satellite Radius 2-in-1 15.6"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 12GB Memory - 1TB Hard Drive - Carbon Gray",$649.00
6,Carla D Hammerstad,"May 29, 2016",5.0 out of 5 stars,Toshiba Radius 15.6in 4k,"I was away after I got the computer so I didn't get to set it up right away. I set it up and worked, so I thought. The next day I went to turn it on and it went back to the set up screen. Ok I'll set it up again. Same thing every time it shuts down. I had to return it for another one and hopefully that will work because the computer was awesome while it worked.UPDATE: Second computer came with a defective screen. It had a large bright green spot in the corner and a large cloud of dead pixles in the center. Hopefully the third times a charm because I really like this computer.","Toshiba - Satellite Radius 2-in-1 15.6"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 12GB Memory - 1TB Hard Drive - Carbon Gray",$649.00
7,Kindle Customer,"November 11, 2016",4.0 out of 5 stars,This machine performs much like the old machine,"I am using this laptop from 2 days and on very first day it start hanging, display is nice but complicate to handle it. Do not look at performance because it is so slow startup takes about 4 to 5 minute to start. And main issue with its charger. My charger is burning of even for 15 min uses. Still I am good with its 4K display otherwise, it is just non sense.","Toshiba - Satellite Radius 2-in-1 15.6"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 12GB Memory - 1TB Hard Drive - Carbon Gray",$649.00
8,Yazmin Z. Armstrong,"June 20, 2016",1.0 out of 5 stars,Terrible computers,This is a excellent laptop! Beautiful 4k display quality. Full size on screen keyboard works great & I use that the most. Very well constructed with the aluminum caseing but can be scratched so I suggest getting a adhesive case protected plus a screen scratch protecter. Very easy to setup especially if you already r using windows10 on another device. Also purchased the wireless display adapter for tv.s but an HDMI cord will work just as well maybe even BETTER because of no connection issues! So over all with the specs of this pc & the $ it's on sale for is something that is hard to come but. So if your lucky enuff to get one of these for 700$ there is no way you won't be extremely happy with it!!,"Toshiba - Satellite Radius 2-in-1 15.6"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 12GB Memory - 1TB Hard Drive - Carbon Gray",$649.00
9,Dan Bigley,"November 27, 2018",2.0 out of 5 stars,Had this laptop for 2 years. Worked for 2 weeks.,"I bought this to replace a machine that died from ""drowning"" when I spilled a cup of coffee on the table next to it.Shouldn't think that would have been enough to kill it but it did.This machine performs much like the old machine.  However, Windows 10 sucks!!!I am tempted to wipe it and replace it with Windows 7.","Toshiba - Satellite Radius 2-in-1 15.6"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 12GB Memory - 1TB Hard Drive - Carbon Gray",$649.00
